Sentiment,Text
0,"@BadAndy_KityKat Yu may be ornge, but you is green in yor photo, was it summat yu ate? Eating spiders makes me sick. "
0,@BadaRN73 Congrats!  Are you by the buses?  I couldn't stay tonight.  
1,@badartie thank u. I was crazy busy 
0,@BadAsh77 Same here. Crashes constantly! 
1,"@BadAsh84 i did indeed, buttercup. just got home a couple of minutes ago, had a little snack and am ready to chill. "
0,@badass_sparrow That counter is gorgeous. I want it. 
1,@BadassCreamPuff  Yayy you have twitter 
1,@badassdadblog Fun! Have a great time if you go. I'd like to go to our SF Zoo sometime soon; they have a new baby gorilla. 
1,"@badassdadblog Yeah, poop is for next time I guess! Thanks for readin it "
0,@BadAssNoLove damn nolove i miss ya silly azz...  see ya soon....
1,@badassplatinum  I see u got new pics mami  I remember the old pics from back in the day  u b looking sexy
1,@badassplatinum that's good to hear mami 
1,@badassyella  sexy lady and have a goodnite sweetdreams ;)
0,"@badassyella u kno how yu b 4getn bot a nigga an shit  don't worry tho,yu gon see a whollleee lot of me soon "
1,@BadAstronomer  notorious? awesome! thanks 
1,@BadAstronomer Likely not as funny as it sounds to your major prof. 
0,@BadAstronomer Unfortunately... Yes. Feel dirty  Sorry... #griffin
0,"@BadAstronomer Yeah, I used to like Oprah.  But for the past few years, not so much."
1,@BadAstronomer You're too late.Herschel and Planck are already up. Search for #hplaunch on twitter 
1,@badavarascal NOOOOOOO!!! Don't auto-focus so much! learn to manual focus first!  @aiyerchitra
1,@BadBabe6  http://bit.ly/iWCL4 re the credit crunch and the sex trade 
1,@badbadgirlx good luck with everything. it was great having you around 
1,@badbadgirlx That's so funny!  I just got it 
0,@badbingirl and people over here has the nerve to complain about the little things that we go through. I am so sorry. 
0,@badbingirl Why is the enemy... Me? I'm peacful... Most of the time at least.. 
1,@BadBoyBoogieman: &quot;Goodnight All.....&quot;--Thnx 4 that last prop @BarbieRay  ? http://blip.fm/~7b7yp
1,@BadBoyOfEditing Does that mean you are or aren't into &quot;grief porn&quot; then? 
1,@BadBoyOfEditing true. Think that's a symptom of a deeper problem 
1,@BadBoyOfOpera Come to the Phil. I'm sure to buy tickets of your show 
1,"@BadBoyOfOpera We have here, that being Sussex in England! absolutely Loving it "
0,@badcop69 Remind me of it again! I am sorry for my ignorance (I can't remember anything!?)  x
1,@baddbizniz i swear the whole ride home. &quot;kelsey is so pretty. Kelsey this. Kelsey that.&quot;  lol.
0,@baddbrwnbodtoya i wish i knew about the trip to ATL i wanna go 
0,@BADDESTBISSH I'm a Cali baby but I live in New Mexico now 
0,@baddestjuju I'm mad I can't get none tho 
0,@BADDESTnLA   U flushed with water n no help?
0,@BADDESTnLA what about meeeee!!! 
1,"@baddestnla.. I used 2 hate that shit. I'd starting delte'N ppl like that.. then I just changed my info  s/n(put it on private), &amp; number"
0,@BaddKittie89 I stay ova by Compton 
1,@Badge24 oh well. Have fun 
1,@BadgeHelp wow! great! thanks! uhmm... anything else I need to do? 
1,@BADGER1052 got it yesterday 
1,@BadgerNoble Hahahah you are awesome!!!  I should likely be asleep too but there's always work to be done 
0,"@BadgerNoble oh no, I didn't realize it was US-centric   I did hear they're having a lot of legal issues so that's probably why "
1,@badgersprite greatjob in your &quot;host&quot; mode last night! 
1,@badgirl666 well hen don't go 
0,@BadGirlStreets even the boots I have 
1,@Bball4life Lol well A b-day present 
1,@Bball4life lol yes come whisper to me 
1,@Bball4life My honey! 
0,@Bball4life Sorry to hear about your emergency trip.  Safe travels to you! And thanks so much 4 your kind words this morning!
1,@Bball4life Yes I'm still up. Surprised? lol I'm doing great now that I'm off from work. How are you? You know I missed you! 
1,@Bball4life Yup!  I'm going to try to keep my DJ liscence today lol
1,"@bballcourt04 Aww!! Getting lunch for your mommy, you're so sweet "
1,"@bballcourt04 you're gonna have so much fun, I can't wait to hear all about it  *Whit*"
0,@bballgal_508 hey jules! i know uve prob texted me somewhere down the line... my phone's not working right now  r we still on for July 4??
0,@bballgurl24 except for the rockets. 
0,"@bballgurl24 hahaha, sleep? Why i'm not tired yet I thought u was staying up wit me  ...but I'm good a lil annoyed by nyc rain..."
1,@bbatiste05 i sure am 
1,@Bbb3LZz I was about 2 say---WTH R U talkin about cause I am cool!! jaja--Awww U R too sweet ma! 
1,"@Bbb3LZz its not the sound of it, is the taste that counts "
1,@BBBaumgartner  it's a good way for kids to build their character by being a cubs fan.  every yr is a disappointment but you still hope! 
1,"@BBBaumgartner or the cincy rollergirls, they are pretty awesome....and the PBR is a dollar a can, get that in la "
0,"@BBBaumgartner Where you are of course! Seriously, not Britain where some've elected an extreme far right politician to Euro parliament. "
1,@bbbclub I'm on it  
0,@bbbggoodd @virgopeace @misssabrinasin DAHLINGS! haha i need help  PLEASE i need an awesome fic rec. idc what couple or ocs or whatevs
1,@BBBlogger but i really did like amanda and jessica. 
0,@bbBonnie  We can put it off til 8:30! But you'd have to come over RIGHT AFTER.
0,"@BBBRYONYYY ... you're not gonna buy a pet jack?  He's only jerking. *joking, I meant joking!"
0,@BBC_Fangirl Won't let me watch since i'm in the states.  Boo.
1,@bbc_hampshire That's ok not to worry. Need any more budding trainee reporters? I have someone in mind   kisses n all
1,@BBC_HaveYourSay Thanks for the info 
0,"@BBC_WHYS I will beg if I have too about the Pebble mine issue. Thousands of Inuits are praying for a voice, because they have none here "
0,@bbc10127 yea it really sucks 
1,@bbc7 your tweet was just included in The Longest Poem in the World www.longestpoemintheworld.com/tweet/16089/ 
0,@BBCasper Yea they need to make an instant viewer for bb but they use DRM protected crap so right now only works on IE and media player 
0,@BBCClick I want to be a click presenter too 
1,@BBCClick Spencer when you were interviewing Dave Perry was he standing on a box or were you kneeling down? 
1,"@bbcentertain he's not a Ballerina.... unless he's undergone a sex change... and you'd notice, especially in those tights "
1,@bbceurovision When are the scorecards for the 2 semis going up on the site?? 
0,@bbcsmoove I'm sorry  wats good?
1,@BBCTravelAlert  no travel news?! Cool quick everyone get on the roads!  I'll settle for champers in the park 
0,@badiit butthead. choco truffles??  china's chocolates have been crappy so far. or way too overpriced for the best ones. shaaat!!
1,@Badin__  I know! AWESOME! Still we need 2 vote!! Tom McFly is also having many votes! SO VOTE 4 ARCHIE  lol!
1,@Badin__ haha sure!! see yah later! 
1,@Badin__ http://davidarchuletanetwork.ning.com/profile/darrel....ok here it is...thanks again 
0,@badingding i would like that explaines tome too! haha i didnt get one! 
0,"@badingding Last of season three? Yeah, that's the one. OM NOM JEALOUS "
1,@baditz17 @cherrythegreat Yup. Okay sakin 
1,@baditz17 @joannasas @cherrythegreat @rxgellivictor @stoicjeng Kse ganun kagaling ang G crew! 
1,"@baditz17 hahaha! cali, but go to school here.  Yep I want to meet all RX DJs"
1,"@baditz17 yeah finished that too.  altair's not coming back for the 2nd one, its a different protagonist na."
1,@badkitty812 Saw a pirate and rainbow flag and wondered if it was you.  I'll let you know if we end up out tonight. Hoping so.
1,@badlady ouch! Bring a script. Get some rewritting done!! 
0,@badlady Think of the prize at the end. So sorry to hear that though. 
0,@badler82 no go  if only it were tomorrrrooooowwwww
1,@badlyshavedboy aw.  x
1,@badmonkeh That's always a given when it comes to anything touched by the Government (Myki is a perfect example) - but I'm just a cynic 
0,@badmummy ...and then I heard it run away and slam a door behind it 
1,@badnewsbeerz I'll be there coach!!!!!! 
1,@badonpaper lady gaga inspires me to be fabulous every day 
1,@badowns is adopting me 
0,@BadPony Worst day ever 
1,@Badseed22           cousin that should be you holding that smartwater bottle  K.J.R
1,@badsneaker Oh I dunno...it got you to comment about it hey?? 
0,@BadSuperhero @in4merz you're making me sad/angry/annoyed    are the votes being verifeid or something?
1,@BadSuperhero Mine does NOT work with it haha. And i wouldn't be able to say it anyways coz of my promise 
1,@BadSuperhero why?:o i newer hate being girl 
0,"@badtwin easy. you were abducted by aliens that turned you green. UGH, STUPID ALIENS "
1,@badwebsites #DestroyAllBots ??? nooooooooo.. leave the transformers aloooooooone. lol. 
0,@badwolftess Word. That's why I fear the holidays. I love you!! I'm sorry last night sucked. 
1,"@badz85 wow, you are like the &quot;Fully Loaded Man&quot; of chunky soup "
1,"@Badzilla sweet. I'm like that but with two kids, so actually it means poor! "
1,@baekdal may be you can help us create a nice theme for feedly 
1,"@Baelen Thanks, man! Much appreciated! Particularly the all-caps of RAWKS! I'll take that with a smile. "
0,@Baenhoof I'd suggest male moocows but I remember you don't like drawing them  What about other druid forms ♥
0,@baf03 hi steven! man it's only been a week and i'm ALREADY behind on school work 
1,"@baffled thatnks for all these followfridays mate  guys not following @baffled, please do. always a revelation"
1,"@baffleinc be optimistic, he made you make a new design "
1,"@baffo Yes, it was pretty low budget and low tech... "
0,@Bag84 no my eye's so now your making fun of my eye's that's not very nice 
1,@bagcraze Thanks a lot ya say 
1,"@BagoBrian Any help, whenever, Chief! "
1,@bagsnob I sometimes love when that happens. It's like going shopping/treasure hunting in your own closet! 
0,@Bagula Oh dear Baggy... 
1,"@bagusrahmat hey, thx btw "
1,"@bagussoo erm, i like spicy chicken "
1,"@bagwaa  Hi, Thx for following  I teach some Chinese lessons on youtube, pls feel free to have a look www.youtube.com/ChineseLearn"
1,@bagwah The car bomb is a dangerous drink... Combine it with an attitude adjuster and you're finished 
0,@Bah_Howard broxei com ele 
0,@bahales I can't afford a Mac.  I'm a poor college student with a dead-end summer job... 
0,@BahamaMama_1 i slept till 10 as well  i never do that!
0,@bahamemo_Alison But im leaving until Wednesday in an hour 
0,@BaharehHabibi I thought it would be too but shorty service and messed up orders = no bueno 
1,"@baharris I love you, brooke Harris. "
0,"@bahbahimasheep keep in mind we'd have to come back @330  but could leave worcester at like 830? if thats ok w/u, we'll get breakfast!"
